"","id_serie","producto","campania","lng","lat","humedad_mean","humedad_std","elevacion_mean","elevacion_std","alt","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","prec11","prec12","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmin11","tmin12","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmax11","tmax12","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","rendimiento_median","clase"
"1","aTv7onqLob","soja",2010,-62.3134886535806,-36.2873996223441,9.87722696580201,0.729071227471964,100.021787616511,3.11043885868885,101,80,81,110,70,46,32,31,26,51,89,88,89,157,147,128,85,57,35,25,33,54,86,119,141,236,227,197,150,119,86,81,97,124,150,190,219,315,308,267,216,181,138,137,162,194,215,262,298,156,136,46,5379,315,25,290,220,88,227,88,793,110,26,40,271,89,250,89,0.381102311473074,"p"
"2","tYo5PXv36y","soja",2010,-62.0844190672969,-36.5069962082825,9.93257480531459,1.22920585384136,116.004873022205,4.48195344855663,114,88,83,112,77,50,33,32,27,53,91,93,93,154,144,124,83,56,34,25,31,51,84,117,139,233,222,193,147,115,84,79,94,119,149,188,217,313,301,262,212,175,134,134,157,188,214,259,295,153,134,46,5358,313,25,288,216,85,224,85,832,112,27,39,283,92,264,92,-0.00877754875964988,"n"
"5","vRnTHipuVX","soja",2007,-62.049852727899,-36.4930237973584,13.5215762970012,0.485385311277898,108.910192167356,8.36167373669625,114,89,84,113,78,51,33,32,27,53,92,93,93,153,145,124,83,56,34,26,31,51,84,117,139,232,223,193,147,115,84,80,94,119,149,187,217,312,301,262,212,175,134,134,157,187,214,258,295,153,133,46,5340,312,26,286,216,86,224,86,838,113,27,40,286,92,266,92,-0.279843081208462,"n"
"6","Ns8O5opoRJ","soja",2010,-62.0992644715212,-36.4666612382732,11.9320954849008,2.56487841166762,114.655215628456,2.33171049431264,113,88,83,113,76,50,33,32,27,53,91,92,93,155,145,125,84,56,33,25,31,52,85,117,140,234,223,194,149,116,83,79,94,120,149,188,217,313,302,263,214,176,134,134,158,188,214,259,295,154,134,46,5385,313,25,288,217,85,224,85,831,113,27,40,284,92,264,92,0.467502478557892,"p"
"7","e3eaNao9TN","soja",2008,-62.0775066693571,-36.5077665624616,8.67584975363225,0.176043048149162,123.602091656875,2.19298697321472,114,88,83,112,77,50,33,32,27,53,91,93,93,154,144,124,83,56,34,25,31,52,84,117,139,233,222,193,147,115,84,79,94,120,149,188,217,313,301,262,212,175,134,134,157,188,214,259,295,153,133,46,5353,313,25,288,216,85,224,85,832,112,27,39,283,92,264,92,-0.186231542643165,"n"
"9","GP4On9Ddye","soja",2006,-62.1708729841339,-36.4678339515346,14.8183845537193,2.35475850638715,113.651627848735,2.33943061813673,112,85,83,111,75,49,32,31,27,53,91,92,92,154,145,124,84,55,33,25,31,52,85,118,141,233,224,193,149,115,83,79,94,120,150,189,219,313,304,263,214,176,134,134,158,189,215,260,297,154,134,46,5408,313,25,288,216,85,225,85,821,111,27,40,279,90,260,90,-0.770949679272501,"n"
"10","wchbE5C3Ef","soja",2010,-62.1373372105482,-36.4284881844965,5.89740968669896,0.748455402100189,121.865627705628,5.0713826003845,110,87,83,112,75,49,33,32,27,53,91,92,92,154,145,125,84,56,34,25,31,52,85,118,140,233,223,194,148,116,84,80,94,120,149,189,218,313,302,264,213,177,135,135,158,189,214,260,296,154,134,46,5367,313,25,288,216,86,224,86,826,112,27,40,282,92,262,92,-0.486019428675138,"n"
"11","QM5GJyMyhO","soja",2010,-62.1212214264697,-36.4292929207562,12.540827497968,0.417077383191801,125.785670520802,3.55914134669517,111,87,83,113,76,50,33,32,27,53,91,92,92,154,145,124,84,56,34,25,32,52,85,118,140,233,223,193,148,116,84,79,95,120,150,189,218,313,302,263,213,177,135,134,158,189,215,260,296,154,134,46,5362,313,25,288,216,86,224,86,829,113,27,39,283,92,262,92,-0.575400436981445,"n"
"12","FBywmD1yGF","soja",2008,-62.147143017292,-36.5316728114063,11.0789979936493,1.15028716150129,118.031577440595,2.81460583641846,116,86,83,111,75,49,32,31,27,53,91,92,92,154,145,123,83,55,33,25,30,51,85,118,140,234,224,192,148,115,83,79,93,119,150,189,218,314,303,262,213,175,134,133,157,188,215,260,296,154,134,46,5420,314,25,289,216,85,225,85,822,111,27,40,280,90,261,90,-0.0238548574293,"n"
"15","2YV1VIEWHU","soja",2007,-62.0900401498016,-36.5316644228693,10.8520481726491,0.132043734012141,129.463855421687,3.29539943328275,116,88,83,112,77,50,33,32,27,53,91,93,93,154,144,124,83,55,34,25,30,51,84,117,139,233,222,193,148,115,84,79,93,119,149,187,217,313,301,262,213,175,134,133,157,187,214,258,295,153,134,46,5361,313,25,288,216,85,224,85,832,112,27,39,283,92,264,92,-2.06892525166644,"n"
"21","CM10vKKnrA","soja",2012,-61.9892897851041,-36.4482330899217,8.91806376339879,0.156453828346015,123.583140563342,2.81370112443773,111,91,84,115,79,52,34,33,28,53,92,93,94,153,144,125,85,56,35,27,32,51,84,116,138,232,221,193,149,115,85,81,94,118,148,186,215,312,299,262,213,175,135,135,157,186,213,257,293,153,133,46,5275,312,27,285,215,86,222,86,848,115,28,39,290,95,269,95,-0.135103817353333,"n"
"22","vtny7ohS9l","soja",2010,-62.1184013374625,-36.500441699379,12.6962971655232,0.734286656915777,127.889394020146,11.4239061532013,116,87,83,112,76,50,33,32,27,53,91,93,92,154,145,124,83,56,33,24,31,51,84,118,140,234,223,193,148,116,83,78,94,119,149,189,218,314,302,262,213,176,134,133,157,188,214,260,296,154,134,46,5412,314,24,290,216,85,225,85,829,112,27,39,282,92,262,92,1.36607027530725,"p"
"25","J8p77wvoQ5","soja",2006,-62.0320562946926,-37.580569546763,0,0,275.367188169739,2.52368236443318,274,81,77,102,70,48,34,32,24,50,82,88,88,138,131,115,64,44,25,19,18,35,64,97,116,220,208,183,128,100,70,68,79,100,130,168,194,302,286,251,192,156,115,118,141,165,196,239,273,137,131,46,5302,302,18,284,203,72,207,72,776,102,24,38,260,90,246,90,2.44338664063668,"p"
"30","sfsCy3LQmO","soja",2006,-62.0991329859937,-36.4271577993908,12.5149158882066,0.847260099607191,117.623068974426,1.72162008048233,111,88,83,113,76,50,33,32,27,53,91,92,93,154,145,125,84,57,34,27,32,51,85,118,140,233,223,194,148,117,84,81,95,119,150,188,218,313,302,263,213,177,135,135,158,188,215,259,296,154,134,46,5339,313,27,286,216,86,224,86,831,113,27,40,284,92,264,92,-0.377675638717738,"n"
"34","iot0GXrhWx","soja",2009,-62.0226921166073,-36.5234126202424,12.3720647924603,0.601954962001088,116.985104870246,2.63116440958698,116,90,84,113,78,51,34,33,27,54,92,93,94,153,143,124,83,55,34,26,31,51,84,116,139,232,221,193,147,114,83,79,94,118,149,187,216,312,300,262,212,174,133,133,157,186,214,258,294,153,133,46,5342,312,26,286,215,85,223,85,843,113,27,39,287,94,268,94,-1.45992755947504,"n"
"36","yh9FW8VNTB","soja",2011,-62.2425048560393,-36.6125862098152,17.820537135948,1.30765911022975,118.86080482184,2.52692060999334,119,83,81,107,73,48,31,30,26,53,90,92,91,154,145,122,83,53,33,23,29,51,85,118,141,234,224,191,148,113,83,78,93,120,150,189,220,315,304,261,213,174,133,133,157,189,215,261,299,154,135,46,5452,315,23,292,186,84,226,84,805,107,26,40,273,87,255,87,-0.540407257442145,"n"
"39","hUaqk7zFUS","soja",2012,-62.1632043443717,-36.3900910417773,13.5181933886456,1.67652793218986,108.455328158081,3.38848378360198,105,86,83,112,75,49,33,32,27,52,91,91,92,156,146,126,85,57,35,26,32,53,85,119,141,235,225,195,150,117,86,80,95,121,150,190,219,314,304,264,215,178,137,135,159,190,215,261,297,155,134,46,5390,314,26,288,218,87,226,87,823,112,27,40,281,92,261,92,-0.624567519965986,"n"
"41","suNaIJjPgF","soja",2009,-62.2925489719644,-36.3779847978493,9.70436511976528,0.263779354862398,102.511878291399,2.12587349901445,108,81,82,109,71,47,32,31,26,52,89,89,90,157,147,126,84,56,34,24,32,53,86,119,141,236,227,196,149,117,85,79,96,122,150,190,220,315,307,266,215,179,137,135,160,192,215,262,299,156,135,46,5448,315,24,291,219,86,227,86,799,109,26,40,272,89,253,89,-1.26508824392768,"n"
"43","hB2LbSBIM5","soja",2010,-62.1542193803727,-36.5180997474361,10.0765861510611,0.91655372999709,120.053420636712,1.87702179261971,115,86,83,111,75,49,32,31,27,53,91,92,92,154,145,124,83,54,33,25,30,51,85,118,139,234,224,193,148,114,83,79,93,119,150,189,217,314,303,262,213,175,134,133,157,188,215,260,296,154,134,46,5422,314,25,289,217,85,225,85,822,111,27,40,280,90,261,90,0.475115580521873,"p"
"44","vG0JqIcZiJ","soja",2010,-62.1297488266676,-36.4218027537866,6.38953509431071,0.717318424974912,123.794112075769,5.10153636701088,110,87,83,113,76,50,33,32,27,53,91,92,92,154,145,125,84,57,34,25,31,52,85,118,140,233,223,194,149,117,84,79,94,120,149,189,218,313,302,264,214,177,135,134,158,189,214,260,296,154,134,46,5371,313,25,288,216,85,224,85,829,113,27,39,283,92,262,92,-0.154273972692889,"n"
"47","VpYW9OolyX","soja",2007,-61.2130149183164,-37.5033881934768,13.4703491963238,0.172395108040683,197.359497206704,1.67753203059713,195,78,77,108,71,53,43,48,26,58,74,76,91,141,134,119,71,50,29,23,24,41,68,100,119,222,210,187,131,105,74,72,83,104,134,171,197,304,287,255,192,160,119,122,143,167,200,242,276,141,129,45,5236,304,23,281,206,76,209,76,803,108,26,32,263,117,246,117,-0.914155522885488,"n"
